#SampleID	DateOfCollection	TimeOfCollection	Notes	City	Office	OfficeLocation	Row	Surface	TimePoint	TimePointCategory	Cooler
T3F.3.Ce.003	7/7/2013	10:19:00	JS	toronto	3	floor	3	ceiling	003	1	1
T3F.3.Dr.003	7/7/2013	10:18:00	JS	toronto	3	floor	3	drywall	003	1	1
T3W.3.Ca.003	7/7/2013	10:21:00	JS	toronto	3	wall	3	carpet	003	1	1
T3W.3.Ce.003	7/7/2013	10:22:00	JS	toronto	3	wall	3	ceiling	003	1	1
T3W.3.Dr.003	7/7/2013	10:21:00	JS	toronto	3	wall	3	drywall	003	1	1
T1C.3.Ca.004	7/9/2013	10:56:00	DM	toronto	1	ceiling	3	carpet	004	1	1
T1C.3.Ce.004	7/9/2013	10:55:00	DM	toronto	1	ceiling	3	ceiling	004	1	1
T1C.3.Dr.004	7/9/2013	10:54:00	DM	toronto	1	ceiling	3	drywall	004	1	1
T1F.3.Ca.004	7/9/2013	10:49:00	DM	toronto	1	floor	3	carpet	004	1	1
T1F.3.Ce.004	7/9/2013	10:48:00	DM	toronto	1	floor	3	ceiling	004	1	1
T1F.3.Dr.004	7/9/2013	10:48:00	DM	toronto	1	floor	3	drywall	004	1	1
T1W.3.Ca.004	7/9/2013	10:52:00	DM	toronto	1	wall	3	carpet	004	1	1
T1W.3.Ce.004	7/9/2013	10:51:00	DM	toronto	1	wall	3	ceiling	004	1	1
T1W.3.Dr.004	7/9/2013	10:51:00	DM	toronto	1	wall	3	drywall	004	1	1
T2C.3.Ca.004	7/9/2013	11:09:00	DM	toronto	2	ceiling	3	carpet	004	1	1
T2C.3.Ce.004	7/9/2013	11:09:00	DM	toronto	2	ceiling	3	ceiling	004	1	1
T2C.3.Dr.004	7/9/2013	11:08:00	DM	toronto	2	ceiling	3	drywall	004	1	1
T2F.3.Ca.004	7/9/2013	11:12:00	DM	toronto	2	floor	3	carpet	004	1	1
T2F.3.Ce.004	7/9/2013	11:12:00	DM	toronto	2	floor	3	ceiling	004	1	1
T2F.3.Dr.004	7/9/2013	11:11:00	DM	toronto	2	floor	3	drywall	004	1	1
T2W.3.Ca.004	7/9/2013	11:07:00	DM	toronto	2	wall	3	carpet	004	1	1
T2W.3.Ce.004	7/9/2013	11:06:00	DM	toronto	2	wall	3	ceiling	004	1	1
T2W.3.Dr.004	7/9/2013	11:06:00	DM	toronto	2	wall	3	drywall	004	1	1
T3C.3.Ca.004	7/9/2013	12:01:00	DM	toronto	3	ceiling	3	carpet	004	1	1
T3C.3.Ce.004	7/9/2013	12:00:00	DM	toronto	3	ceiling	3	ceiling	004	1	1
T3C.3.Dr.004	7/9/2013	11:59:00	DM	toronto	3	ceiling	3	drywall	004	1	1
T3F.3.Ca.004	7/9/2013	11:57:00	DM	toronto	3	floor	3	carpet	004	1	1
T3F.3.Ce.004	7/9/2013	11:56:00	DM	toronto	3	floor	3	ceiling	004	1	1
T3F.3.Dr.004	7/9/2013	11:56:00	DM	toronto	3	floor	3	drywall	004	1	1
T3W.3.Ca.004	7/9/2013	11:54:00	DM	toronto	3	wall	3	carpet	004	1	1
T3W.3.Ce.004	7/9/2013	11:53:00	DM	toronto	3	wall	3	ceiling	004	1	1
